"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Upload Big File Error to Notes","2622","notesLargeFileUploadErrorTest()","","Sat Aug 23 01:18:44 CEST 2025","passed","Sat Aug 23 01:18:46 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests","notesLargeFileUploadErrorTest"
"Check Incorrect email in Reset Password","3788","negativePasswordReq()","","Sat Aug 23 01:19:18 CEST 2025","passed","Sat Aug 23 01:19:22 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativePasswordReq"
"Check alert about Incorrect Confirmation code in Reset Password 2nd step","2893","negativeConfirmingResetPass()","","Sat Aug 23 01:19:23 CEST 2025","passed","Sat Aug 23 01:19:26 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativeConfirmingResetPass"
"Check Validation for Company Name Field","1563","companyNameFieldInvalidCharsTest()","","Sat Aug 23 01:18:41 CEST 2025","passed","Sat Aug 23 01:18:42 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests","companyNameFieldInvalidCharsTest"
"Check Create Post only with Required Fields","13595","createPostWithMinimalOptionsTest()","","Sat Aug 23 01:18:13 CEST 2025","broken","Sat Aug 23 01:18:27 CEST 2025","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithMinimalOptionsTest"
"Check Incorrect Password in LogIn Page","1283","loginNegativePasswordTest()","","Sat Aug 23 05:08:57 CEST 2025","passed","Sat Aug 23 05:08:58 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest"
"Check the Cancel button is work correct","3192","checkClickCANCELButton()","","Sat Aug 23 01:18:29 CEST 2025","passed","Sat Aug 23 01:18:32 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests","checkClickCANCELButton"
"","7385","clickOnAllTabsTest()","","Sat Aug 23 01:18:50 CEST 2025","passed","Sat Aug 23 01:18:58 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ClickOnAllTabsTest","Tests.SignInResetPasswordProfileWEB.ClickOnAllTabsTest","clickOnAllTabsTest"
"Check Incorrect email in LogIn Page","2891","loginNegativeEmailTest()","","Sat Aug 23 05:08:54 CEST 2025","passed","Sat Aug 23 05:08:57 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest"
"If Post type is Need: Check Hided Upload Fields In Supply Analyses and Geotechnical Reports","1132","checkHidedUploadFieldsInSupplyAnalysesAndGeotechnicalReportsTest()","","Sat Aug 23 01:18:32 CEST 2025","passed","Sat Aug 23 01:18:33 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests","checkHidedUploadFieldsInSupplyAnalysesAndGeotechnicalReportsTest"
